step,agent_id,type,side,price,quantity
0,MM_01,limit,buy,99.9,10
1,MM_01,limit,buy,99.57,10
1,Arb_01,market,buy,MKT,5
2,MM_01,limit,buy,98.75,10
2,Arb_01,market,buy,MKT,5
3,MM_01,limit,buy,98.19,10
3,Trend_01,market,sell,MKT,5
3,Arb_01,market,sell,MKT,5
4,MM_01,limit,buy,98.2,10
4,Trend_01,market,sell,MKT,5
4,Arb_01,market,sell,MKT,5
5,MM_01,limit,buy,98.54,10
5,Trend_01,market,buy,MKT,5
5,Arb_01,market,buy,MKT,5
6,MM_01,limit,buy,98.05,10
6,Trend_01,market,sell,MKT,5
6,Arb_01,market,sell,MKT,5
7,MM_01,limit,sell,97.97,10
7,Trend_01,market,sell,MKT,5
7,Arb_01,market,buy,MKT,5
8,MM_01,limit,sell,98.25,10
8,Trend_01,market,sell,MKT,5
9,MM_01,limit,sell,98.33,10
9,Trend_01,market,buy,MKT,5
10,MM_01,limit,buy,98.5,10
10,Trend_01,market,buy,MKT,5
10,Arb_01,market,sell,MKT,5
11,MM_01,limit,sell,98.74,10
11,Trend_01,market,buy,MKT,5
12,MM_01,limit,buy,99.02,10
12,Trend_01,market,buy,MKT,5
13,MM_01,limit,buy,99.31,10
13,Trend_01,market,buy,MKT,5
13,Arb_01,market,buy,MKT,5
14,MM_01,limit,buy,99.21,10
14,Trend_01,market,buy,MKT,5
14,Arb_01,market,buy,MKT,5
15,MM_01,limit,buy,98.98,10
15,Trend_01,market,sell,MKT,5
15,Arb_01,market,sell,MKT,5
16,MM_01,limit,sell,98.9,10
16,Trend_01,market,sell,MKT,5
17,MM_01,limit,sell,98.94,10
17,Trend_01,market,sell,MKT,5
17,Arb_01,market,sell,MKT,5
18,MM_01,limit,sell,99.2,10
18,Trend_01,market,buy,MKT,5
18,Arb_01,market,sell,MKT,5
19,MM_01,limit,sell,99.15,10
19,Trend_01,market,buy,MKT,5
20,MM_01,limit,buy,99.25,10
20,Trend_01,market,buy,MKT,5
21,MM_01,limit,buy,99.36,10
21,Trend_01,market,buy,MKT,5
21,Arb_01,market,sell,MKT,5
22,MM_01,limit,sell,99.21,10
22,Trend_01,market,sell,MKT,5
22,Arb_01,market,sell,MKT,5
23,MM_01,limit,sell,99.23,10
23,Trend_01,market,sell,MKT,5
23,Arb_01,market,buy,MKT,5
24,MM_01,limit,buy,99.68,10
24,Trend_01,market,buy,MKT,5
24,Arb_01,market,buy,MKT,5
25,MM_01,limit,buy,100.7,10
25,Trend_01,market,buy,MKT,5
26,MM_01,limit,buy,100.7,10
26,Trend_01,market,buy,MKT,5
27,MM_01,limit,buy,100.5,10
27,Trend_01,market,buy,MKT,5
28,MM_01,limit,buy,100.49,10
28,Trend_01,market,sell,MKT,5
28,Arb_01,market,sell,MKT,5
29,MM_01,limit,sell,100.49,10
29,Trend_01,market,sell,MKT,5
29,Arb_01,market,sell,MKT,5
30,MM_01,limit,sell,100.53,10
30,Trend_01,market,sell,MKT,5
30,Arb_01,market,buy,MKT,5
31,MM_01,limit,sell,100.13,10
31,Trend_01,market,sell,MKT,5
31,Arb_01,market,buy,MKT,5
32,MM_01,limit,buy,100.03,10
32,Trend_01,market,sell,MKT,5
32,Arb_01,market,buy,MKT,5
33,MM_01,limit,sell,101.05,10
33,Trend_01,market,buy,MKT,5
33,Arb_01,market,sell,MKT,5
34,MM_01,limit,buy,101.09,10
34,Trend_01,market,buy,MKT,5
34,Arb_01,market,sell,MKT,5
35,MM_01,limit,sell,101.56,10
35,Trend_01,market,buy,MKT,5
36,MM_01,limit,buy,100.91,10
36,Trend_01,market,sell,MKT,5
37,MM_01,limit,sell,101.57,10
37,Trend_01,market,buy,MKT,5
37,Arb_01,market,sell,MKT,5
38,MM_01,limit,buy,102.0,10
38,Trend_01,market,buy,MKT,5
39,MM_01,limit,buy,102.44,10
39,Trend_01,market,buy,MKT,5
39,Arb_01,market,buy,MKT,5
40,MM_01,limit,buy,102.28,10
40,Trend_01,market,buy,MKT,5
40,Arb_01,market,buy,MKT,5
41,MM_01,limit,buy,102.35,10
41,Trend_01,market,buy,MKT,5
41,Arb_01,market,sell,MKT,5
42,MM_01,limit,sell,102.47,10
42,Trend_01,market,sell,MKT,5
43,MM_01,limit,sell,103.01,10
43,Trend_01,market,buy,MKT,5
43,Arb_01,market,sell,MKT,5
44,MM_01,limit,buy,103.81,10
44,Trend_01,market,buy,MKT,5
44,Arb_01,market,buy,MKT,5
45,MM_01,limit,buy,104.28,10
45,Trend_01,market,buy,MKT,5
45,Arb_01,market,buy,MKT,5
46,MM_01,limit,buy,104.1,10
46,Trend_01,market,buy,MKT,5
47,MM_01,limit,buy,104.38,10
47,Trend_01,market,buy,MKT,5
47,Arb_01,market,sell,MKT,5
48,MM_01,limit,sell,104.06,10
48,Trend_01,market,sell,MKT,5
48,Arb_01,market,buy,MKT,5
49,MM_01,limit,buy,103.69,10
49,Trend_01,market,sell,MKT,5
49,Arb_01,market,buy,MKT,5
50,MM_01,limit,sell,102.79,10
50,Trend_01,market,sell,MKT,5
50,Arb_01,market,sell,MKT,5
51,MM_01,limit,sell,102.99,10
51,Trend_01,market,sell,MKT,5
52,MM_01,limit,sell,102.85,10
52,Trend_01,market,sell,MKT,5
52,Arb_01,market,sell,MKT,5
53,MM_01,limit,sell,103.03,10
53,Trend_01,market,buy,MKT,5
54,MM_01,limit,buy,104.07,10
54,Trend_01,market,buy,MKT,5
55,MM_01,limit,buy,104.57,10
55,Trend_01,market,buy,MKT,5
56,MM_01,limit,buy,104.42,10
56,Trend_01,market,buy,MKT,5
56,Arb_01,market,sell,MKT,5
57,MM_01,limit,sell,105.0,10
57,Trend_01,market,buy,MKT,5
57,Arb_01,market,buy,MKT,5
58,MM_01,limit,buy,105.18,10
58,Trend_01,market,buy,MKT,5
59,MM_01,limit,buy,104.77,10
59,Trend_01,market,sell,MKT,5
59,Arb_01,market,buy,MKT,5
60,MM_01,limit,buy,104.83,10
60,Trend_01,market,sell,MKT,5
60,Arb_01,market,buy,MKT,5
61,MM_01,limit,sell,104.96,10
61,Trend_01,market,sell,MKT,5
61,Arb_01,market,buy,MKT,5
62,MM_01,limit,buy,103.78,10
62,Trend_01,market,sell,MKT,5
62,Arb_01,market,sell,MKT,5
63,MM_01,limit,sell,104.97,10
63,Trend_01,market,buy,MKT,5
63,Arb_01,market,buy,MKT,5
64,MM_01,limit,buy,105.63,10
64,Trend_01,market,buy,MKT,5
64,Arb_01,market,sell,MKT,5
65,MM_01,limit,sell,105.34,10
65,Trend_01,market,buy,MKT,5
65,Arb_01,market,buy,MKT,5
66,MM_01,limit,buy,104.9,10
66,Trend_01,market,sell,MKT,5
66,Arb_01,market,buy,MKT,5
67,MM_01,limit,buy,104.89,10
67,Trend_01,market,sell,MKT,5
68,MM_01,limit,sell,104.09,10
68,Trend_01,market,sell,MKT,5
69,MM_01,limit,sell,104.98,10
69,Trend_01,market,buy,MKT,5
69,Arb_01,market,buy,MKT,5
70,MM_01,limit,buy,103.92,10
70,Trend_01,market,sell,MKT,5
70,Arb_01,market,buy,MKT,5
71,MM_01,limit,buy,104.44,10
71,Trend_01,market,buy,MKT,5
71,Arb_01,market,sell,MKT,5
72,MM_01,limit,sell,104.97,10
72,Trend_01,market,buy,MKT,5
73,MM_01,limit,buy,105.15,10
73,Trend_01,market,buy,MKT,5
73,Arb_01,market,buy,MKT,5
74,MM_01,limit,buy,105.55,10
74,Trend_01,market,buy,MKT,5
74,Arb_01,market,buy,MKT,5
75,MM_01,limit,buy,105.57,10
75,Trend_01,market,buy,MKT,5
76,MM_01,limit,buy,105.69,10
76,Trend_01,market,buy,MKT,5
76,Arb_01,market,sell,MKT,5
77,MM_01,limit,sell,105.84,10
77,Trend_01,market,buy,MKT,5
77,Arb_01,market,sell,MKT,5
78,MM_01,limit,buy,105.33,10
78,Trend_01,market,sell,MKT,5
78,Arb_01,market,buy,MKT,5
79,MM_01,limit,sell,104.59,10
79,Trend_01,market,sell,MKT,5
80,MM_01,limit,sell,104.59,10
80,Trend_01,market,sell,MKT,5
80,Arb_01,market,buy,MKT,5
81,MM_01,limit,buy,105.16,10
81,Trend_01,market,buy,MKT,5
82,MM_01,limit,buy,105.55,10
82,Trend_01,market,buy,MKT,5
83,MM_01,limit,buy,104.95,10
83,Trend_01,market,sell,MKT,5
83,Arb_01,market,buy,MKT,5
84,MM_01,limit,sell,106.29,10
84,Trend_01,market,buy,MKT,5
84,Arb_01,market,sell,MKT,5
85,MM_01,limit,buy,106.36,10
85,Trend_01,market,buy,MKT,5
85,Arb_01,market,buy,MKT,5
86,MM_01,limit,buy,106.01,10
86,Trend_01,market,buy,MKT,5
86,Arb_01,market,sell,MKT,5
87,MM_01,limit,sell,105.86,10
87,Trend_01,market,sell,MKT,5
87,Arb_01,market,sell,MKT,5
88,MM_01,limit,sell,105.91,10
88,Trend_01,market,sell,MKT,5
89,MM_01,limit,sell,105.66,10
89,Trend_01,market,sell,MKT,5
89,Arb_01,market,sell,MKT,5
90,MM_01,limit,sell,105.23,10
90,Trend_01,market,sell,MKT,5
90,Arb_01,market,sell,MKT,5
91,MM_01,limit,sell,104.88,10
91,Trend_01,market,sell,MKT,5
91,Arb_01,market,sell,MKT,5
92,MM_01,limit,sell,105.4,10
92,Trend_01,market,buy,MKT,5
92,Arb_01,market,buy,MKT,5
93,MM_01,limit,buy,105.64,10
93,Trend_01,market,buy,MKT,5
94,MM_01,limit,buy,105.46,10
94,Trend_01,market,buy,MKT,5
