step,agent_id,inventory,cash,total_value
0,MM_01,0,100000.0,100000.0
0,Trend_01,0,100000.0,100000.0
0,Arb_01,0,100000.0,100000.0
1,MM_01,0,100000.0,100000.0
1,Trend_01,0,100000.0,100000.0
1,Arb_01,0,100000.0,100000.0
2,MM_01,0,100000.0,100000.0
2,Trend_01,0,100000.0,100000.0
2,Arb_01,0,100000.0,100000.0
3,MM_01,10,99018.1,100001.59261385442
3,Trend_01,-10,100981.9,99998.40738614558
3,Arb_01,-10,100981.9,99998.40738614558
4,MM_01,20,98036.1,100010.8965053494
4,Trend_01,-20,101963.9,99989.1034946506
4,Arb_01,-20,101963.9,99989.1034946506
5,MM_01,20,98036.1,100001.06634388625
5,Trend_01,-20,101963.9,99998.93365611375
5,Arb_01,-20,101963.9,99998.93365611375
6,MM_01,30,97055.6,99996.30006068306
6,Trend_01,-30,102944.4,100003.69993931694
6,Arb_01,-30,102944.4,100003.69993931694
7,MM_01,25,97545.45000000001,100002.37718060664
7,Trend_01,-30,102944.4,99996.08738327205
7,Arb_01,-20,101964.69999999998,99999.15825551469
8,MM_01,25,97545.45000000001,100004.4149218167
8,Trend_01,-30,102944.4,99993.64209381996
8,Arb_01,-20,101964.69999999998,99997.52806254663
9,MM_01,20,98037.1,100011.18408945929
9,Trend_01,-20,101961.1,99987.01591054072
9,Arb_01,-20,101964.69999999998,99990.6159105407
10,MM_01,25,97544.6,100013.63836090943
10,Trend_01,-20,101961.1,99985.86931127247
10,Arb_01,-30,102949.69999999998,99986.85396690867
11,MM_01,20,98038.3,100022.60185930929
11,Trend_01,-10,100973.70000000001,99981.54907034537
11,Arb_01,-30,102949.69999999998,99973.24721103604
12,MM_01,20,98038.3,100028.4809628108
12,Trend_01,-10,100973.70000000001,99978.6095185946
12,Arb_01,-30,102949.69999999998,99964.42855578377
13,MM_01,20,98038.3,100026.45640752996
13,Trend_01,-10,100973.70000000001,99979.62179623503
13,Arb_01,-30,102949.69999999998,99967.46538870505
14,MM_01,20,98038.3,100021.99474967916
14,Trend_01,-10,100973.70000000001,99981.85262516043
14,Arb_01,-30,102949.69999999998,99974.15787548125
15,MM_01,30,97048.50000000001,100016.85268717956
15,Trend_01,-20,101963.5,99984.59820854697
15,Arb_01,-40,103939.49999999997,99981.6964170939
16,MM_01,30,97048.50000000001,100018.15271537764
16,Trend_01,-20,101963.5,99983.73152308159
16,Arb_01,-40,103939.49999999997,99979.96304616315
17,MM_01,30,97048.50000000001,100026.01107084943
17,Trend_01,-20,101963.5,99978.49261943372
17,Arb_01,-40,103939.49999999997,99969.48523886742
18,MM_01,25,97544.50000000001,100023.96026464515
18,Trend_01,-10,100971.5,99979.71589414195
18,Arb_01,-40,103939.49999999997,99972.36357656776
19,MM_01,20,98040.25000000001,100029.32588854291
19,Trend_01,0,99980.0,99980.0
19,Arb_01,-40,103939.49999999997,99961.3482229142
20,MM_01,20,98040.25000000001,100031.39711324223
20,Trend_01,0,99980.0,99980.0
20,Arb_01,-40,103939.49999999997,99957.20577351554
21,MM_01,25,97543.45000000001,100024.43502022316
21,Trend_01,0,99980.0,99980.0
21,Arb_01,-50,104933.09999999998,99971.12995955368
22,MM_01,25,97543.45000000001,100024.94921980516
22,Trend_01,0,99980.0,99980.0
22,Arb_01,-50,104933.09999999998,99970.10156038967
23,MM_01,20,98039.6,100037.12481165139
23,Trend_01,0,99980.0,99980.0
23,Arb_01,-40,103940.79999999999,99945.75037669722
24,MM_01,20,98039.6,100057.58985099528
24,Trend_01,0,99980.0,99980.0
24,Arb_01,-40,103940.79999999999,99904.82029800945
25,MM_01,20,98039.6,100057.5498933804
25,Trend_01,0,99980.0,99980.0
25,Arb_01,-40,103940.79999999999,99904.9002132392
26,MM_01,20,98039.6,100053.60759631848
26,Trend_01,0,99980.0,99980.0
26,Arb_01,-40,103940.79999999999,99912.78480736303
27,MM_01,20,98039.6,100053.47943266128
27,Trend_01,0,99980.0,99980.0
